0,43,
1,26,
2,37,
3,55,
4,53,
5,35,
6,46,
7,32,
8,29,
9,41,
10,22,
11,47,
12,30,
13,39,
14,23,
15,26,
16,40,
17,46,
18,32,
19,36,
20,31,
21,28,
22,27,
23,49,
24,42,
25,30,
26,42,
27,23,
28,47,
29,35,
30,29,
31,22,
32,42,
33,38,
34,49,
35,27,
36,53,
37,36,
38,31,
39,22,
40,49,
41,33,
42,41,
43,59,
44,44,
45,37,
46,58,
47,24,
48,55,
49,30,
50,33,
51,26,
52,31,
53,40,
54,56,
55,53,
56,42,
57,30,
58,56,
59,21,
60,45,
61,25,
62,24,
63,27,
64,36,
65,45,
66,26,
67,29,
68,53,
69,37,
70,24,
71,35,
72,42,
73,45,
74,34,
75,27,
76,54,
77,24,
78,23,
79,50,
80,27,
81,28,
82,56,
83,38,
84,48,
85,44,
86,23,
87,31,
88,54,
89,59,
90,32,
91,40,
92,56,
93,28,
94,39,
95,32,
96,46,
97,46,
98,34,
99,39,
100,55,
101,30,
102,54,
103,38,
104,47,
105,21,
106,37,
107,42,
108,57,
109,32,
110,32,
111,56,
112,41,
113,20,
114,26,
115,21,
116,45,
117,29,
118,24,
119,39,
120,20,
121,29,
122,51,
123,57,
124,37,
125,31,
126,21,
127,55,
128,49,
129,27,
130,27,
131,36,
132,37,
133,53,
134,46,
135,25,
136,46,
137,23,
138,39,
139,44,
140,28,
141,51,
142,32,
143,49,
144,43,
145,39,
146,50,
147,28,
148,48,
149,55,
150,40,
151,49,
152,56,
153,23,
154,38,
155,25,
156,26,
157,31,
158,21,
159,55,
160,39,
161,28,
162,24,
163,48,
164,21,
165,50,
166,53,
167,40,
168,54,
169,24,
170,24,
171,54,
172,47,
173,36,
174,43,
175,31,
176,47,
177,25,
178,39,
179,36,
180,52,
181,51,
182,57,
183,48,
184,55,
185,27,
186,54,
187,21,
188,38,
189,55,
190,49,
191,57,
192,55,
193,53,
194,38,
195,48,
196,43,
197,31,
198,28,
199,29,
200,36,
201,24,
202,23,
203,23,
204,33,
205,38,
206,26,
207,20,
208,44,
209,38,
210,28,
211,28,
212,29,
213,57,
214,57,
215,56,
216,24,
217,43,
218,50,
219,43,
220,30,
221,39,
222,32,
223,25,
224,24,
225,50,
226,45,
227,39,
228,54,
229,46,
230,49,
231,22,
232,42,
233,44,
234,57,
235,47,
236,55,
237,24,
238,48,
239,31,
240,42,
241,48,
242,39,
243,43,
244,46,
245,28,
246,40,
247,42,
248,51,
249,30,
250,25,
251,21,
252,41,
253,30,
254,58,
255,45,
256,20,
257,36,
258,24,
259,46,
260,22,
261,45,
262,48,
263,36,
264,22,
265,38,
266,24,
267,57,
268,42,
269,44,
270,20,
271,56,
272,32,
273,39,
274,39,
275,50,
276,48,
277,51,
278,33,
279,31,
280,21,
281,30,
282,33,
283,34,
284,40,
285,23,
286,59,
287,41,
288,39,
289,56,
290,59,
291,33,
292,33,
293,48,
294,50,
295,35,
296,26,
297,46,
298,24,
299,40,
300,30,
301,24,
302,36,
303,42,
304,36,
305,47,
306,25,
307,56,
308,39,
309,38,
310,27,
311,32,
312,48,
313,32,
314,39,
315,29,
316,36,
317,30,
318,42,
319,47,
